English (source / theme base),French (Canada) — translation layer
131 Greene St,131 Greene St
"131 Greene Street, New York, NY 10012, USA","131 Greene Street, New York, NY 10012, USA"
1500 watts of power boil water in as little as three minutes — faster than the stovetop or microwave.,1 500 watts de puissance font bouillir l'eau en aussi peu que trois minutes — plus rapidement que la cuisinière ou le micro-ondes.
"1500 watts of power bring water to a rolling boil in about three minutes — faster than the stovetop or microwave, so your first cup is ready before you've finished measuring the grounds.","1 500 watts de puissance amènent l'eau à pleine ébullition en environ trois minutes — plus rapidement que la cuisinière ou le micro-ondes, de sorte que votre première tasse est prête avant même que vous ayez fini de mesurer le café moulu."
1500W fast boil,Ébullition rapide 1500W
1500W rapid heat,Chauffe rapide 1500W
151 O'Connor St,151 O'Connor St
"151 O'Connor Street, Ottawa ON K2P 2L8, Canada","151 O'Connor Street, Ottawa ON K2P 2L8, Canada"
360° cordless base,Base sans fil 360°
360° cordless swivel base,Base pivotante sans fil 360°
620 King St,620 King St
"620 King St W, Toronto, ON M5V 1M7, Canada","620 King St W, Toronto, ON M5V 1M7, Canada"
<em><strong>Free shipping and returns</strong></em>,<em><strong>Livraison et retours gratuits</strong></em>
<em>Boil Faster</em>,<em>Faites bouillir plus vite</em>
<em>Example heading</em>,<em>Exemple de titre</em>
<em>Free Shipping</em>,<em>Livraison gratuite</em>
<em>Fry Healthier</em>,<em>Friture plus santé</em>
<em>Hassle-Free Exchanges</em>,<em>Échanges sans tracas</em>
<em>Image comparison</em>,<em>Comparaison d'images</em>
<em>Tagline</em>,<em>Slogan</em>
<em>Talk about your brand</em>,<em>Parlez de votre marque</em>
<em>The #1 Brand of Kettles</em>,<em>La marque de bouilloires n° 1</em>
"<h5>At Chefman, we're innovating at every turn, offering you the very best technology, performance and value.</h5>","<h5>Chez Chefman, nous innovons à chaque instant afin de vous offrir la meilleure technologie, la meilleure performance et le meilleur rapport qualité-prix.</h5>"
"<p>151 O'Connor Street, Ottawa ON K2P 2L8, Canada</p>","<p>151 O'Connor Street, Ottawa ON K2P 2L8, Canada</p>"
"<p><a href=""#"" title=""mailto:contact@yourstore.com"">contact@yourstore.com</a><br/><a href=""#"" title=""mailto:sales@yourstore.com"">sales@yourstore.com</a></p>","<p><a href=""#"" title=""mailto:contact@yourstore.com"">contact@yourstore.com</a><br/><a href=""#"" title=""mailto:sales@yourstore.com"">sales@yourstore.com</a></p>"
"<p><a href=""#"" title=""mailto:shop@yourstore.com"">shop@yourstore.com</a></p>","<p><a href=""#"" title=""mailto:shop@yourstore.com"">shop@yourstore.com</a></p>"
"<p><a href=""#"" title=""tel:+33 (0) 31-305-210"">+33 (0) 31-305-210<br/></a>mo – fri: 09:00 – 17:00</p>","<p><a href=""#"" title=""tel:+33 (0) 31-305-210"">+33 (0) 31-305-210<br/></a>lun – ven : 9 h – 17 h</p>"
"<p><a href=""https://cdn.shopify.com/s/files/1/0576/5755/7158/files/7x7_Terms_Conditions_Warranty_06_2021_1.pdf?v=1629406217"" target=""_blank"" title=""https://cdn.shopify.com/s/files/1/0576/5755/7158/files/7x7_Terms_Conditions_Warranty_06_2021_1.pdf?v=1629406217"">Download Warranty Documentation</a></p>","<p><a href=""https://cdn.shopify.com/s/files/1/0576/5755/7158/files/7x7_Terms_Conditions_Warranty_06_2021_1.pdf?v=1629406217"" target=""_blank"" title=""https://cdn.shopify.com/s/files/1/0576/5755/7158/files/7x7_Terms_Conditions_Warranty_06_2021_1.pdf?v=1629406217"">Télécharger la documentation de garantie</a></p>"
"<p><a href=""mailto:support@chefman.com"" target=""_blank"" title=""mailto:support@chefman.com"">support@chefman.com</a></p>","<p><a href=""mailto:support@chefman.com"" target=""_blank"" title=""mailto:support@chefman.com"">support@chefman.com</a></p>"
<p><em>— Add a tagline</em></p>,<p><em>— Ajouter un slogan</em></p>
"<p>A bar is a unit of pressure, and espresso is traditionally brewed at around 9 bars at the coffee itself, which is the sweet spot for balanced flavor and good crema. Machines often advertise 15 or 20 bars, but that refers to the pump's maximum output before it passes through the machine, so a higher number isn't automatically better.</p>","<p>Le bar est une unité de pression, et l'espresso est traditionnellement extrait à environ 9 bars au niveau du café lui-même, ce qui constitue le point idéal pour une saveur équilibrée et une belle crema. Les machines annoncent souvent 15 ou 20 bars, mais cela renvoie au débit maximal de la pompe avant qu'il ne passe dans la machine; un chiffre plus élevé n'est donc pas automatiquement meilleur.</p>"
<p>A built-in steam wand or automatic frother turns cold milk into silky microfoam for lattes and cappuccinos. It's the difference between a plain shot and a proper coffee-shop drink at home.</p>,<p>Une buse vapeur intégrée ou un mousseur automatique transforme le lait froid en micromousse soyeuse pour les lattes et les cappuccinos. C'est ce qui fait la différence entre un simple espresso et une véritable boisson de café-boutique à la maison.</p>
"<p>A common starting point is about 1 to 2 tablespoons of ground coffee for every 6 ounces of water, which you can adjust to taste. Keep in mind that a coffee maker's marked 'cup' is usually around 5 to 6 ounces rather than a full 8-ounce mug, so measure your water accordingly.</p>","<p>Un bon point de départ est d'environ 1 à 2 cuillères à soupe de café moulu pour chaque 180 mL d'eau, ce que vous pouvez ajuster selon votre goût. Gardez à l'esprit que la « tasse » indiquée sur une cafetière correspond habituellement à environ 150 à 180 mL plutôt qu'à une grande tasse pleine de 240 mL; mesurez donc votre eau en conséquence.</p>"
"<p>A drip coffee maker heats water in a reservoir and then evenly showers it over ground coffee held in a filter basket. Gravity pulls the brewed coffee down through the filter and into the carafe below, so all you do is add water, grounds, and press start.</p>","<p>Une cafetière à filtre chauffe l'eau dans un réservoir, puis l'asperge uniformément sur le café moulu retenu dans un panier-filtre. La gravité entraîne le café infusé à travers le filtre jusque dans la carafe située en dessous; il ne vous reste donc qu'à ajouter de l'eau et du café moulu, puis à appuyer sur le bouton de mise en marche.</p>"
"<p>A Fast-Boil kettle heats water to a full boil (212°F) and stops, which is all you need for black tea, herbal tea, coffee, and instant drinks. A temperature-control kettle lets you dial in a lower, exact temperature, which matters for delicate green, white, and oolong teas that can turn bitter at a full boil. If you just want hot water fast, Fast-Boil is the simpler, more affordable choice.</p>","<p>Une bouilloire à ébullition rapide chauffe l'eau jusqu'à pleine ébullition (100 °C) puis s'arrête, ce qui est tout ce qu'il vous faut pour le thé noir, les tisanes, le café et les boissons instantanées. Une bouilloire à contrôle de température vous permet de régler une température plus basse et précise, ce qui compte pour les thés verts, blancs et oolong délicats qui peuvent devenir amers à pleine ébullition. Si vous voulez simplement de l'eau chaude rapidement, l'ébullition rapide est le choix le plus simple et le plus abordable.</p>"
"<p>A Fast-Boil kettle is the essential electric kettle: a stain-resistant borosilicate glass body powered by 1500 watts that brings water to a full rolling boil in as little as three minutes — quicker than the stovetop or the microwave. There's nothing to program. You fill it between the min and max lines, press the switch, and blue LEDs glow while the water heats so you can watch it come to a boil. When it's ready the kettle shuts off automatically, and it lifts right off its 360° cordless base so you can carry it straight to your mug or teapot.</p>","<p>Une bouilloire à ébullition rapide est la bouilloire électrique par excellence : un corps en verre borosilicaté résistant aux taches, alimenté par 1 500 watts, qui amène l'eau à pleine ébullition en aussi peu que trois minutes — plus vite que la cuisinière ou le micro-ondes. Il n'y a rien à programmer. Vous la remplissez entre les repères min et max, appuyez sur l'interrupteur, et des DEL bleues s'allument pendant que l'eau chauffe afin que vous puissiez la voir arriver à ébullition. Lorsqu'elle est prête, la bouilloire s'éteint automatiquement, et elle se soulève directement de sa base sans fil 360° pour que vous puissiez la transporter directement jusqu'à votre tasse ou votre théière.</p>"
"<p>A glass carafe sits on a warming plate to stay hot, which is great if you finish the pot quickly, but extended warming can eventually make coffee taste bitter. A thermal carafe is insulated and keeps coffee hot for hours without a heat source, helping preserve the original flavor, so it's a nice option if you sip slowly throughout the morning.</p>","<p>Une carafe en verre repose sur une plaque chauffante pour rester chaude, ce qui est idéal si vous terminez le café rapidement, mais un maintien au chaud prolongé peut finir par rendre le café amer. Une carafe thermique est isolée et garde le café chaud pendant des heures sans source de chaleur, ce qui aide à préserver la saveur d'origine; c'est donc une belle option si vous sirotez lentement tout au long de la matinée.</p>"
